experiment_id,experiment_type,provider,model,prompt,expected,response,parsed,correct,failure_type,latency_s,timestamp
sym_000,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 41 zorp 8
Return only the numeric answer.",49,49,49,True,,1.444,2026-04-20T03:33:30Z
sym_001,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 48 blix 18
Return only the numeric answer.",30,30,30,True,,0.907,2026-04-20T03:33:31Z
sym_002,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 15 zorp 9
Return only the numeric answer.",24,24,24,True,,0.901,2026-04-20T03:33:32Z
sym_003,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 44 zorp 48
Return only the numeric answer.",92,92,92,True,,0.838,2026-04-20T03:33:33Z
sym_004,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 38 zorp 28
Return only the numeric answer.",66,66,66,True,,0.657,2026-04-20T03:33:34Z
sym_005,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 2 blix 6
Return only the numeric answer.",-4,2 - 6 = **-4**,-4,True,,1.248,2026-04-20T03:33:35Z
sym_006,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 15 zorp 33
Return only the numeric answer.",48,48,48,True,,0.963,2026-04-20T03:33:36Z
sym_007,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 30 grint 2
Return only the numeric answer.",15.0,15,15,True,,0.979,2026-04-20T03:33:37Z
sym_008,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 38 zorp 18
Return only the numeric answer.",56,56,56,True,,1.276,2026-04-20T03:33:38Z
sym_009,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 36 grint 4
Return only the numeric answer.",9.0,9,9,True,,1.438,2026-04-20T03:33:39Z
sym_010,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 10 plonk 14
Return only the numeric answer.",140,140,140,True,,1.016,2026-04-20T03:33:40Z
sym_011,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 12 grint 1
Return only the numeric answer.",12.0,12,12,True,,1.947,2026-04-20T03:33:42Z
sym_012,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 23 plonk 39
Return only the numeric answer.",897,23 × 39 = **897**,897,True,,1.124,2026-04-20T03:33:44Z
sym_013,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 13 grint 1
Return only the numeric answer.",13.0,13,13,True,,1.027,2026-04-20T03:33:45Z
sym_014,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 6 plonk 36
Return only the numeric answer.",216,6 plonk 36 = 6 × 36 = **216**,216,True,,0.909,2026-04-20T03:33:46Z
sym_015,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 41 plonk 40
Return only the numeric answer.",1640,41 plonk 40 = 41 × 40 = **1640**,1640,True,,1.339,2026-04-20T03:33:47Z
sym_016,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 37 zorp 13
Return only the numeric answer.",50,50,50,True,,1.433,2026-04-20T03:33:48Z
sym_017,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 3 blix 43
Return only the numeric answer.",-40,3 - 43 = **-40**,-40,True,,1.322,2026-04-20T03:33:50Z
